question,document
"I just found this course — am I still allowed to join, and is there any deadline I should know about if I want a certificate?",74eb249bbf
"Can new students still sign up for the course at this point, or is it already too late?",74eb249bbf
"If I join now, can I still get the certificate, or did I miss the submission window?",74eb249bbf
"Is it okay to start the course late, and what do I need to do to be eligible for a certificate?",74eb249bbf
I discovered the course after it started — can I still participate and submit the project for certification?,74eb249bbf
"Do I actually need a confirmation email to start the LLM Zoomcamp, or am I already accepted?",977bf7786c
"If I registered for the course, should I wait for any email before watching the lessons or sending homework?",977bf7786c
"Is the registration form only for interest checking, or does it affect whether I can take the course?",977bf7786c
Can I begin the homework submissions even if I never got any signup confirmation?,977bf7786c
Will my registration be matched against some official list before I can participate in the LLM Zoomcamp?,977bf7786c
Where do students actually join the Office Hours or live workshop sessions if the Zoom link isn’t shared publicly?,489dd1c9d9
How am I supposed to ask questions during a live session if I can’t use the chat?,489dd1c9d9
"Will the stream link for Office Hours be posted somewhere before it starts, and where should I look for it?",489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and is there an official channel for that?",489dd1c9d9
"Why is the Zoom link for live sessions only given to instructors and TAs, and what’s the student workflow instead?",489dd1c9d9
"Where should I begin if I just joined the LLM Zoomcamp, and what order should I follow each week?",04919992b3
"Do I have to start the course on a specific date, or can I begin whenever I want?",04919992b3
"What’s the usual weekly routine for watching the lessons, doing the notebooks, and turning in homework?",04919992b3
"Where do I find the course docs, GitHub materials, and deadline info for LLM Zoomcamp?",04919992b3
"Is the homework the same as the lesson work, or does it use different data and tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,c2903069a0
"Why does my leaderboard name look random, and can I change it?",c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
What should I put in the profile fields if I want a different nickname than the default one?,c2903069a0
"Which name goes on the certificate, and how do I avoid having the random name there?",c2903069a0
"Can I do the course on my own schedule and still get a certificate, or is the certificate only for the live run?",69d122f12e
Is there any way to get the course certificate if I take the self-paced version?,69d122f12e
Why doesn't the self-paced mode come with a certificate like the live cohort does?,69d122f12e
Do I have to be in the active course period to do the peer reviews needed for certification?,69d122f12e
"If I finish the project later, can I still review the capstones and earn the certificate?",69d122f12e
"If I skipped the first homework, can I still earn the course certificate as long as I pass the Capstone project?",9f689c185f
"Is homework actually required for getting the certificate, or is it just optional in this course?",9f689c185f
What do I need to complete to receive the certificate if I didn’t do the homework assignments?,9f689c185f
"Does missing homework stop me from getting certified, or is the Capstone project the only must-pass requirement?",9f689c185f
"Are homework points mandatory for the certificate, or do they only affect the leaderboard ranking?",9f689c185f
