question,document
Can I still join the course if I found it late?,74eb249bbf
Is it too late to enroll in llm-zoomcamp now?,74eb249bbf
"If I start the course after it begins, can I still get a certificate?",74eb249bbf
Do I need to submit my project before submissions close to qualify for the certificate?,74eb249bbf
Can late joiners still complete the course and earn a certificate?,74eb249bbf
"I signed up for the LLM Zoomcamp, but I didn’t get any confirmation email — do I still need to wait for one before starting?",977bf7786c
"Do I need an acceptance or confirmation message after registering, or can I just begin the course and submit homework?",977bf7786c
"Is course registration required to be on an approved list, or is it only there to measure interest?",977bf7786c
Can I start watching the LLM Zoomcamp lessons and turning in assignments even if I never completed the registration form?,977bf7786c
What does registering for the LLM Zoomcamp actually do if there’s no confirmation email and no checking against a signup list?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared with everyone?,489dd1c9d9
Where can I find the live video link for an Office Hours session before it starts?,489dd1c9d9
"Do we get the Zoom URL for workshops, or is it only for instructors and TAs?",489dd1c9d9
"If I want to watch the live session and ask questions, what should I use instead of Zoom chat?",489dd1c9d9
Which channel or platform usually has the stream link for Office Hours and live sessions?,489dd1c9d9
What’s the best way to begin LLM Zoomcamp if I’m just starting out?,04919992b3
"Do I need to follow a fixed schedule, or can I start the course anytime?",04919992b3
What should I do each week after watching the lesson videos?,04919992b3
Where do I find the homework instructions and where do I submit the answers?,04919992b3
"Is the homework basically the same as the lesson work, or is it different?",04919992b3
How do I find my own entry on the leaderboard if I can't spot my name right away?,c2903069a0
"Why do I show up on the leaderboard under a weird random name, and can I change it?",c2903069a0
Where can I check what display name the course is using for me?,c2903069a0
"If I want a different nickname on the leaderboard, which profile field should I edit?",c2903069a0
"What name ends up on my certificate, and how do I make sure it’s my real one?",c2903069a0
"Can I take the course at my own pace and still get a certificate, or is the certificate only for the live run?",69d122f12e
"If I do everything in self-paced mode, will I still be eligible for the certificate at the end?",69d122f12e
Why don't you give certificates for people who go through the course on their own schedule?,69d122f12e
"Do I need to be in a live cohort to get credit, or is self-paced enough for certification?",69d122f12e
"Is peer review required for the certificate, and does that mean I have to finish while the course is running?",69d122f12e
"If I skip the first homework, can I still get the course certificate?",9f689c185f
Do I have to do every homework assignment to earn a certificate in this course?,9f689c185f
"Is the certificate based on homework grades, or is something else required instead?",9f689c185f
What do I need to complete in order to receive the certificate if homework is optional?,9f689c185f
"If homework isn't mandatory, what does it affect in the course?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework is actually ready to start?,96286b4be4
Is it safe to work on a homework before the final version is out?,96286b4be4
Can the homework still change even if it’s already visible on the course platform?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know the next course start term?,bd31146b0e
What’s the next offering date for this course?,bd31146b0e
Is the course coming back in Summer 2027?,bd31146b0e
When can I take this course again?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
"Is there a YouTube playlist for the lessons, or should I use the GitHub repo instead?",31456f4b5f
I’m looking for the videos for each lesson — where are they linked?,31456f4b5f
What’s the best place to start if I want the updated course materials and lecture links?,31456f4b5f
Do the lesson pages in the repo include the related videos at the top?,31456f4b5f
Where do I find the LLM Zoomcamp course platform to follow the syllabus and homework?,20c5a1347e
How can I check the deadlines and progress for this Zoomcamp?,20c5a1347e
Is there a place where the current cohort structure is listed for LLM Zoomcamp?,20c5a1347e
What platform should I use to track homework and deadlines in the course?,20c5a1347e
Does LLM Zoomcamp use the same management system as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions for every module, or is everything mostly pre-recorded in the repo?",d65e05bd7a
How are live classes or office hours announced if they happen during the course?,d65e05bd7a
"If I’m stuck on a module, should I ask in Slack and is there a specific way to do it?",d65e05bd7a
Is there any optional paid support with regular Zoom office hours for extra help?,d65e05bd7a
"Does the free DataTalks.Club course include live support, or is that only in the optional community?",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits for this course?,dbf5369006
Are Bluesky updates accepted for the learning in public credit requirement?,dbf5369006
"If I post about the course on Bluesky, does that qualify for public learning credits?",dbf5369006
Do Bluesky posts work for earning learning in public credits in llm-zoomcamp?,dbf5369006
"Is Bluesky a valid platform for learning in public credits, or only other social media?",dbf5369006
What's the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram link?,054f3fd58f
Is there a Telegram channel for the course announcements?,054f3fd58f
Should I use Telegram or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
Where do I go for announcements and where should I ask technical questions?,054f3fd58f
Why does the FAQ dataset I download have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal if my FAQ count doesn’t match the course recordings?,e2d595f23c
Why are there more or fewer questions in the FAQ data when I run the code?,e2d595f23c
Did the course FAQ dataset change after the videos were recorded?,e2d595f23c
Why am I seeing a different record count in the live FAQ dataset than in the lectures?,e2d595f23c
Can I still turn in homework after the deadline if the submission form is still open?,a9353fadfe
"The deadline already passed, but the form hasn’t closed yet — is it okay to submit now?",a9353fadfe
"When exactly do homework submissions stop being accepted, after the deadline or after the form closes?",a9353fadfe
"If I missed the deadline but the form is still available, can I send my answers in?",a9353fadfe
"Does a passed deadline block submission right away, or only once the form is closed?",a9353fadfe
"Can I still turn in a homework after the deadline if the form is open, or is it already closed for good?",cdc3b285e5
"Do you ever give deadline extensions for homework, or are late submissions completely not allowed?",cdc3b285e5
"If I miss one homework, does that hurt my chance at the certificate, or only the leaderboard score?",cdc3b285e5
What happens if I try to submit after the homework form has closed?,cdc3b285e5
"Is homework required for passing the course, or is the Capstone project the only thing that matters?",cdc3b285e5
Will the name I enter for the certificate be visible on the public leaderboard or shared with anyone outside the course?,651ba06b34
What’s the difference between the certificate name and the display name on the leaderboard?,651ba06b34
Can I keep my real name off the public profile but still have it on the certificate?,651ba06b34
Where do I change the nickname that shows publicly versus the name that gets printed on the certificate?,651ba06b34
"Is the name on my certificate kept private, or does it get published somewhere online?",651ba06b34
